source_id,derived_from,configuration,beta_deg,rudder_deg,alpha_deg,omega_b_over_2V,zero_replicate,dCA_vertical,dCN_vertical,dCm_vertical,dCY_vertical,dCl_vertical,dCn_vertical,derivation,qa_status
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,25,0.05,,0.021,-0.12,0.033,0.036,0.0041,-0.0098,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,25,0.10,,0.020,-0.11,0.028,0.056,0.0041,-0.0159,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,25,0.20,,0.012,-0.06,0.025,0.101,0.0039,-0.0278,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,25,0.30,,0.005,-0.07,0.028,0.141,0.0074,-0.0402,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,25,0.40,,-0.006,-0.09,0.034,0.190,0.0121,-0.0549,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,30,-0.40,,-0.006,-0.09,0.061,-0.190,-0.0085,0.0382,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,30,-0.30,,-0.002,-0.07,0.057,-0.133,-0.0035,0.0258,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,30,-0.20,,-0.001,-0.07,0.062,-0.060,0.0070,0.0079,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,30,-0.10,,0.003,-0.05,0.061,-0.016,0.0147,-0.0017,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,30,-0.05,,0.003,-0.07,0.051,0.005,0.0033,-0.0008,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,30,0.00,1,0.001,-0.10,0.045,0.020,0.0033,-0.0053,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,30,0.00,2,-0.003,-0.06,0.041,0.027,0.0007,-0.0050,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,30,0.05,,-0.005,-0.01,0.045,0.045,-0.0027,-0.0055,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,30,0.10,,-0.003,-0.04,0.045,0.059,-0.0029,-0.0080,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,30,0.20,,0.001,-0.04,0.040,0.094,-0.0001,-0.0174,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,30,0.30,,0.004,-0.03,0.038,0.159,0.0052,-0.0340,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,30,0.40,,0.012,-0.04,0.058,0.188,0.0100,-0.0475,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,35,-0.40,,-0.004,-0.10,0.082,-0.118,0.0029,0.0182,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,35,-0.30,,0.001,-0.09,0.067,-0.076,0.0045,0.0071,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,35,-0.20,,0.001,-0.07,0.054,-0.060,-0.0006,0.0065,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,35,-0.10,,0.001,-0.06,0.054,-0.032,0.0030,-0.0007,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,35,-0.05,,0.000,-0.07,0.051,-0.014,0.0025,-0.0022,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,35,0.00,1,0.002,-0.09,0.039,0.007,-0.0029,-0.0033,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,35,0.00,2,-0.004,-0.03,0.048,0.016,0.0012,-0.0043,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,35,0.05,,0.013,-0.05,0.042,0.023,-0.0011,-0.0053,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,35,0.10,,0.014,-0.06,0.043,0.037,-0.0014,-0.0071,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,35,0.20,,0.008,-0.06,0.049,0.064,0.0157,-0.0166,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,35,0.30,,0.000,-0.09,0.055,0.097,0.0010,-0.0206,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,35,0.40,,-0.011,-0.12,0.070,0.147,-0.0004,-0.0310,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,40,-0.40,,-0.006,-0.02,0.065,-0.068,0.0038,0.0023,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,40,-0.30,,-0.005,0.01,0.058,-0.015,0.0019,-0.0024,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,40,-0.20,,-0.004,-0.03,0.042,-0.003,0.0016,-0.0077,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,40,-0.10,,-0.005,-0.02,0.055,0.030,0.0049,-0.0083,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,40,-0.05,,-0.005,-0.02,0.050,0.034,0.0062,-0.0116,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,40,0.00,1,-0.011,-0.02,0.048,0.025,0.0041,-0.0057,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,40,0.00,2,-0.008,0.01,0.044,0.041,0.0041,-0.0049,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,40,0.05,,0.007,-0.03,0.039,0.013,-0.0022,0.0002,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,40,0.10,,0.008,-0.03,0.040,0.015,-0.0058,0.0040,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,40,0.20,,0.008,-0.02,0.047,0.044,-0.0045,-0.0060,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,40,0.30,,0.009,-0.02,0.048,0.054,-0.0038,-0.0074,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,40,0.40,,0.009,-0.05,0.057,0.093,-0.0029,-0.0148,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,45,-0.40,,0.000,-0.01,0.061,-0.058,-0.0020,0.0054,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,45,-0.30,,-0.004,0.02,0.050,-0.017,-0.0014,-0.0007,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,45,-0.20,,-0.006,0.02,0.034,0.002,0.0006,-0.0050,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,45,-0.10,,-0.007,0.03,0.042,0.038,-0.0002,-0.0060,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,45,-0.05,,-0.007,0.03,0.044,0.035,0.0038,-0.0055,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,45,0.00,1,-0.006,0.08,0.055,0.043,0.0041,-0.0069,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,45,0.00,2,-0.006,0.04,0.039,0.039,0.0029,-0.0065,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,45,0.05,,0.005,0.04,0.031,0.000,-0.0014,-0.0037,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,45,0.10,,0.005,0.03,0.028,-0.017,-0.0023,-0.0004,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,45,0.20,,0.005,0.02,0.033,-0.008,-0.0027,-0.0030,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,45,0.30,,0.000,0.05,0.027,0.020,0.0005,-0.0082,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,50,-0.40,,-0.002,-0.03,0.044,-0.034,-0.0050,0.0206,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
