source_id,derived_from,configuration,beta_deg,alpha_deg,omega_b_over_2V,zero_replicate,dCA_wing,dCN_wing,dCm_wing,dCY_wing,dCl_wing,dCn_wing,derivation,qa_status
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,5,-0.20,,-0.002,0.35,-0.041,-0.025,0.0648,0.0035,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,5,-0.10,,-0.006,0.34,-0.031,-0.022,0.0312,0.0028,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,5,-0.05,,-0.008,0.34,-0.029,-0.019,0.0138,0.0015,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,5,0.00,1,-0.008,0.35,-0.029,-0.011,-0.0028,-0.0001,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,5,0.00,2,-0.008,0.35,-0.029,-0.010,-0.0025,0.0002,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,5,0.05,,-0.007,0.36,-0.032,-0.010,-0.0195,-0.0012,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,5,0.10,,-0.006,0.36,-0.033,-0.006,-0.0369,-0.0016,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,5,0.20,,-0.004,0.35,-0.043,-0.006,-0.0699,-0.0014,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,5,0.30,,0.000,0.33,-0.042,-0.010,-0.0991,-0.0006,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,5,0.40,,0.004,0.29,-0.042,-0.007,-0.1274,0.0006,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,10,-0.40,,-0.003,0.61,-0.070,-0.007,0.0871,0.0088,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,10,-0.30,,-0.006,0.60,-0.065,-0.005,0.0591,0.0057,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,10,-0.20,,-0.011,0.61,-0.062,-0.005,0.0367,0.0029,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,10,-0.10,,-0.014,0.65,-0.071,-0.004,0.0180,0.0013,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,10,-0.05,,-0.013,0.65,-0.075,-0.004,0.0086,0.0011,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,10,0.00,1,-0.013,0.63,-0.077,-0.010,0.0004,0.0005,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,10,0.00,2,-0.015,0.63,-0.077,-0.007,-0.0007,0.0003,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,10,0.05,,-0.012,0.57,-0.075,-0.016,-0.0099,-0.0009,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_WING_INCREMENT,CR3608_ROTARY_BODY_WING_BETA0_V0.1 - CR3608_ROTARY_BODY_BETA0_V0.1,"F-18 Wing incremental contribution from component buildup",0,10,0.10,,-0.011,0.55,-0.066,-0.017,-0.0199,0.0002,BODY_WING_MINUS_BODY,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
