source_id,configuration,beta_deg,delta_H_deg,delta_a_deg,delta_r_deg,delta_d_deg,delta_f_deg,source_pdf_page,appendix_page,alpha_deg,omega_b_over_2V,zero_replicate,CA,CN,Cm,CY,Cl,Cn,qa_status
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,110,A47,10,-0.40,,0.043,0.85,-0.112,0.123,0.1180,0.0350,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,110,A47,10,-0.30,,0.066,0.67,-0.084,0.129,0.0899,0.0202,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,110,A47,10,-0.20,,0.081,0.58,-0.059,0.129,0.0667,0.0075,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,110,A47,10,-0.10,,0.088,0.53,-0.024,0.128,0.0467,-0.0015,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,110,A47,10,-0.05,,0.088,0.53,-0.010,0.130,0.0354,-0.0054,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,110,A47,10,-0.03,,0.089,0.52,-0.005,0.133,0.0295,-0.0073,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,110,A47,10,0.00,1,0.089,0.47,-0.006,0.141,0.0240,-0.0099,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,110,A47,10,0.00,2,0.088,0.48,-0.007,0.144,0.0238,-0.0093,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,110,A47,10,0.03,,0.084,0.52,0.003,0.146,0.0174,-0.0108,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,110,A47,10,0.05,,0.084,0.52,0.006,0.149,0.0108,-0.0127,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,110,A47,10,0.10,,0.084,0.49,0.011,0.159,-0.0032,-0.0165,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,110,A47,10,0.20,,0.084,0.48,0.025,0.184,-0.0315,-0.0236,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,110,A47,10,0.30,,0.074,0.52,0.045,0.221,-0.0612,-0.0298,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,110,A47,10,0.40,,0.053,0.58,0.075,0.254,-0.0968,-0.0357,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,15,-0.30,,0.041,1.16,-0.145,0.072,0.0766,0.0403,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,15,-0.20,,0.040,1.15,-0.098,0.095,0.0588,0.0192,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,15,-0.10,,0.040,1.12,-0.057,0.109,0.0409,0.0038,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,15,-0.05,,0.039,1.14,-0.040,0.126,0.0318,-0.0025,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,15,-0.03,,0.040,1.14,-0.031,0.129,0.0265,-0.0053,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,15,0.00,1,0.042,1.11,-0.028,0.142,0.0226,-0.0083,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,15,0.00,2,0.043,1.10,-0.027,0.140,0.0222,-0.0076,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,15,0.03,,0.035,1.14,-0.011,0.144,0.0172,-0.0096,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,15,0.05,,0.035,1.13,-0.004,0.147,0.0120,-0.0118,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,15,0.10,,0.037,1.12,0.013,0.154,0.0012,-0.0152,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,15,0.20,,0.043,1.10,0.042,0.185,-0.0258,-0.0223,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,15,0.30,,0.045,1.09,0.060,0.219,-0.0572,-0.0299,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,-10,0,0,0,0,0,111,A48,15,0.40,,0.049,1.10,0.082,0.246,-0.0904,-0.0388,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
