source_id,configuration,beta_deg,source_pdf_page,appendix_page,alpha_deg,omega_b_over_2V,zero_replicate,CA,CN,Cm,CY,Cl,Cn,qa_status
NASA_CR_3608,F-18 Body, Wing,0,78,A15,55,-0.20,,0.020,1.52,-0.128,0.222,0.0069,0.0968,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,78,A15,55,-0.10,,0.020,1.43,-0.124,0.206,0.0108,0.0895,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,78,A15,55,-0.05,,0.022,1.44,-0.117,0.164,0.0091,0.0704,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,78,A15,55,0.00,1,0.030,1.38,-0.107,0.091,0.0087,0.0489,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,78,A15,55,0.00,2,0.029,1.37,-0.117,0.093,0.0092,0.0518,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,78,A15,55,0.05,,0.023,1.45,-0.079,0.052,0.0005,0.0294,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,78,A15,55,0.10,,0.023,1.46,-0.065,0.020,0.0001,0.0166,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,78,A15,55,0.20,,0.028,1.47,-0.106,-0.156,-0.0094,-0.0875,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,78,A15,55,0.30,,0.029,1.60,-0.119,-0.227,-0.0094,-0.1254,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,78,A15,55,0.40,,0.022,1.70,-0.131,-0.297,-0.0162,-0.1600,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,79,A16,60,-0.40,,-0.003,1.82,-0.109,0.297,0.0114,0.1292,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,79,A16,60,-0.30,,0.007,1.66,-0.103,0.236,0.0105,0.1066,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,79,A16,60,-0.20,,0.014,1.55,-0.122,0.185,0.0096,0.0901,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,79,A16,60,-0.10,,0.018,1.51,-0.131,0.141,0.0077,0.0642,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,79,A16,60,-0.05,,0.020,1.49,-0.146,0.156,0.0073,0.0740,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,79,A16,60,0.00,1,0.029,1.44,-0.131,0.089,0.0052,0.0452,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,79,A16,60,0.00,2,0.029,1.42,-0.128,0.078,0.0065,0.0446,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,79,A16,60,0.05,,0.027,1.50,-0.100,0.061,0.0015,0.0315,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,79,A16,60,0.10,,0.026,1.50,-0.081,0.026,-0.0001,0.0154,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,79,A16,60,0.20,,0.028,1.54,-0.123,-0.125,-0.0069,-0.0857,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,79,A16,60,0.30,,0.019,1.64,-0.126,-0.191,-0.0118,-0.1204,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,79,A16,60,0.40,,0.006,1.81,-0.094,-0.214,-0.0113,-0.1260,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,79,A16,65,-0.40,,-0.003,1.82,-0.140,0.287,0.0118,0.1390,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,79,A16,65,-0.30,,-0.002,1.70,-0.113,0.196,0.0094,0.0992,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,79,A16,65,-0.20,,0.001,1.61,-0.121,0.131,0.0056,0.0688,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,79,A16,65,-0.10,,0.004,1.56,-0.153,0.113,0.0045,0.0542,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,79,A16,65,-0.05,,0.008,1.53,-0.170,0.111,0.0040,0.0503,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,79,A16,65,0.00,1,0.018,1.46,-0.160,0.073,0.0044,0.0348,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,79,A16,65,0.00,2,0.020,1.47,-0.165,0.062,0.0033,0.0355,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,79,A16,65,0.05,,0.013,1.55,-0.143,0.033,0.0021,0.0143,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,79,A16,65,0.10,,0.012,1.55,-0.122,0.009,-0.0001,-0.0015,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,79,A16,65,0.20,,0.016,1.58,-0.147,-0.092,-0.0035,-0.0747,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,79,A16,65,0.30,,0.014,1.66,-0.129,-0.146,-0.0075,-0.1020,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,79,A16,65,0.40,,0.005,1.80,-0.136,-0.221,-0.0084,-0.1341,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,79,A16,70,-0.40,,-0.010,1.89,-0.182,0.249,0.0094,0.1229,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,79,A16,70,-0.30,,-0.006,1.75,-0.172,0.179,0.0061,0.0957,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,79,A16,70,-0.20,,-0.004,1.66,-0.170,0.124,0.0019,0.0712,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,79,A16,70,-0.10,,0.000,1.59,-0.175,0.095,0.0012,0.0467,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,79,A16,70,-0.05,,0.002,1.57,-0.182,0.073,0.0012,0.0292,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,79,A16,70,0.00,1,0.008,1.52,-0.194,0.019,0.0026,0.0036,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,79,A16,70,0.00,2,0.009,1.51,-0.194,0.012,0.0002,0.0048,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,79,A16,70,0.05,,0.006,1.59,-0.180,0.025,0.0017,-0.0026,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,79,A16,70,0.10,,0.005,1.60,-0.168,-0.008,0.0017,-0.0228,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,79,A16,70,0.20,,0.004,1.63,-0.155,-0.047,0.0005,-0.0564,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,79,A16,70,0.30,,0.000,1.67,-0.156,-0.112,-0.0041,-0.0829,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,79,A16,70,0.40,,0.000,1.81,-0.169,-0.155,-0.0068,-0.1112,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,79,A16,75,-0.40,,-0.008,1.89,-0.242,0.202,0.0038,0.0982,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,79,A16,75,-0.30,,-0.005,1.76,-0.207,0.133,-0.0002,0.0717,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,79,A16,75,-0.20,,-0.003,1.67,-0.200,0.082,-0.0029,0.0494,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,79,A16,75,-0.10,,-0.001,1.61,-0.203,0.067,-0.0018,0.0272,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,79,A16,75,-0.05,,0.001,1.59,-0.216,0.055,-0.0020,0.0156,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,79,A16,75,0.00,1,0.003,1.54,-0.238,0.017,0.0026,-0.0013,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,79,A16,75,0.00,2,0.001,1.51,-0.233,0.011,0.0042,-0.0016,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,79,A16,75,0.05,,0.006,1.57,-0.226,0.005,0.0017,-0.0123,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,79,A16,75,0.10,,0.003,1.57,-0.211,-0.007,0.0040,-0.0238,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,79,A16,75,0.20,,0.003,1.63,-0.199,-0.033,0.0046,-0.0478,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,79,A16,75,0.30,,0.003,1.72,-0.207,-0.070,0.0010,-0.0659,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,79,A16,75,0.40,,0.003,1.85,-0.228,-0.132,-0.0008,-0.0933,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,80,A17,80,-0.40,,0.002,1.92,-0.307,0.157,-0.0049,0.0759,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,80,A17,80,-0.30,,-0.001,1.79,-0.287,0.109,-0.0049,0.0516,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,80,A17,80,-0.20,,-0.007,1.70,-0.255,0.081,-0.0086,0.0411,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,80,A17,80,-0.10,,-0.008,1.64,-0.255,0.067,-0.0033,0.0228,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,80,A17,80,-0.05,,-0.006,1.61,-0.265,0.058,-0.0014,0.0146,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,80,A17,80,0.00,1,-0.003,1.54,-0.284,0.023,0.0003,0.0014,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,80,A17,80,0.00,2,0.003,1.47,-0.285,0.000,0.0026,0.0010,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,80,A17,80,0.05,,0.007,1.51,-0.275,-0.012,0.0020,-0.0122,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,80,A17,80,0.10,,0.004,1.52,-0.256,-0.016,0.0045,-0.0184,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,80,A17,80,0.20,,0.006,1.59,-0.247,-0.031,0.0093,-0.0379,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,80,A17,80,0.30,,0.009,1.70,-0.280,-0.063,0.0067,-0.0517,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,80,A17,80,0.40,,0.011,1.90,-0.305,-0.102,0.0041,-0.0748,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,80,A17,85,-0.40,,-0.003,1.93,-0.350,0.163,-0.0063,0.0773,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,80,A17,85,-0.30,,-0.009,1.79,-0.334,0.127,-0.0068,0.0571,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,80,A17,85,-0.20,,0.001,1.68,-0.314,0.095,-0.0087,0.0437,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,80,A17,85,-0.10,,0.004,1.61,-0.314,0.079,-0.0011,0.0247,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,80,A17,85,-0.05,,0.008,1.60,-0.323,0.058,0.0012,0.0138,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,80,A17,85,0.00,1,-0.003,1.56,-0.336,0.023,0.0025,0.0021,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,80,A17,85,0.00,2,0.000,1.56,-0.339,0.027,0.0014,0.0006,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,80,A17,85,0.05,,0.009,1.58,-0.329,0.016,0.0000,-0.0106,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,80,A17,85,0.10,,0.006,1.59,-0.323,0.002,0.0018,-0.0196,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,80,A17,85,0.20,,0.004,1.65,-0.313,-0.033,0.0103,-0.0441,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,80,A17,85,0.30,,-0.002,1.73,-0.330,-0.080,0.0095,-0.0562,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,80,A17,85,0.40,,-0.002,1.88,-0.333,-0.125,0.0108,-0.0796,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,80,A17,90,-0.40,,0.002,1.81,-0.380,0.153,-0.0083,0.0836,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,80,A17,90,-0.30,,-0.008,1.67,-0.381,0.119,-0.0062,0.0616,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,80,A17,90,-0.20,,0.007,1.54,-0.360,0.091,-0.0059,0.0471,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,80,A17,90,-0.10,,0.021,1.48,-0.366,0.068,0.0021,0.0271,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,80,A17,90,-0.05,,0.027,1.47,-0.367,0.049,0.0029,0.0200,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,80,A17,90,0.00,1,0.007,1.47,-0.380,0.002,0.0025,0.0028,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,80,A17,90,0.00,2,0.010,1.44,-0.382,0.002,0.0015,0.0085,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,80,A17,90,0.05,,0.023,1.49,-0.369,-0.020,-0.0010,-0.0125,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,80,A17,90,0.10,,0.020,1.47,-0.371,-0.051,-0.0002,-0.0252,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,80,A17,90,0.20,,0.010,1.52,-0.357,-0.077,0.0062,-0.0436,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,80,A17,90,0.30,,-0.004,1.59,-0.370,-0.116,0.0068,-0.0615,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body, Wing,0,80,A17,90,0.40,,0.012,1.72,-0.375,-0.172,0.0087,-0.0830,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
