source_id,derived_from,configuration,beta_deg,alpha_deg,omega_b_over_2V,zero_replicate,dCA_LEX,dCN_LEX,dCm_LEX,dCY_LEX,dCl_LEX,dCn_LEX,derivation,qa_status
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,5,-0.30,,0.015,-0.08,0.063,-0.031,-0.0026,0.0013,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,5,-0.20,,0.017,-0.10,0.060,-0.032,-0.0042,0.0009,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,5,-0.10,,0.019,-0.10,0.055,-0.035,-0.0012,0.0008,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,5,-0.05,,0.019,-0.11,0.055,-0.034,-0.0003,0.0011,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,5,0.00,1,0.019,-0.10,0.056,-0.029,0.0006,0.0020,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,5,0.00,2,0.020,-0.11,0.056,-0.030,-0.0003,0.0018,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,5,0.05,,0.014,-0.09,0.055,-0.032,0.0015,0.0025,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,5,0.10,,0.014,-0.08,0.055,-0.023,0.0025,0.0029,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,5,0.20,,0.014,-0.09,0.060,-0.022,0.0068,0.0036,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,5,0.30,,0.013,-0.06,0.062,-0.012,0.0050,0.0045,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,5,0.40,,0.012,-0.05,0.063,-0.011,-0.0012,0.0053,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,10,-0.40,,0.012,-0.04,0.112,-0.074,0.0215,-0.0024,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,10,-0.30,,0.016,-0.08,0.112,-0.063,0.0148,-0.0012,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
