source_id,derived_from,configuration,beta_deg,alpha_deg,omega_b_over_2V,zero_replicate,dCA_LEX,dCN_LEX,dCm_LEX,dCY_LEX,dCl_LEX,dCn_LEX,derivation,qa_status
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,25,-0.40,,0.009,0.10,0.295,-0.114,-0.0088,-0.0068,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,25,-0.30,,0.003,0.15,0.297,-0.111,-0.0173,-0.0043,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,25,-0.20,,-0.003,0.25,0.311,-0.073,-0.0279,0.0009,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,25,-0.10,,-0.012,0.36,0.331,-0.051,-0.0266,0.0069,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,25,-0.05,,-0.015,0.40,0.340,-0.026,-0.0259,0.0080,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,25,0.00,1,-0.008,0.37,0.343,-0.037,-0.0083,0.0056,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,25,0.00,2,-0.009,0.38,0.341,-0.038,-0.0070,0.0056,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,25,0.05,,-0.019,0.40,0.349,-0.010,0.0073,0.0029,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,25,0.10,,-0.017,0.37,0.347,0.009,0.0086,0.0046,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,25,0.20,,-0.008,0.25,0.338,0.036,0.0099,0.0103,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,25,0.30,,-0.002,0.19,0.326,0.064,0.0006,0.0156,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,25,0.40,,0.007,0.16,0.320,0.069,-0.0068,0.0213,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,30,-0.40,,0.015,0.23,0.317,-0.015,-0.0090,-0.0079,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,30,-0.30,,0.007,0.28,0.342,-0.022,-0.0113,-0.0063,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,30,-0.20,,-0.001,0.29,0.365,-0.030,-0.0058,-0.0005,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,30,-0.10,,-0.005,0.32,0.388,-0.058,-0.0024,0.0049,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,30,-0.05,,-0.008,0.40,0.393,-0.018,-0.0107,0.0062,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,30,0.00,1,-0.002,0.39,0.388,0.011,-0.0222,0.0074,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,30,0.00,2,-0.001,0.41,0.392,-0.033,-0.0006,0.0052,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,30,0.05,,-0.006,0.38,0.408,0.024,-0.0153,0.0080,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,30,0.10,,-0.005,0.40,0.407,0.016,-0.0176,0.0092,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,30,0.20,,-0.003,0.36,0.389,-0.013,0.0007,0.0137,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,30,0.30,,0.002,0.33,0.370,-0.010,0.0029,0.0215,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,30,0.40,,0.010,0.27,0.350,-0.007,0.0017,0.0253,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,35,-0.40,,0.011,0.26,0.385,0.018,-0.0022,0.0059,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,35,-0.30,,0.005,0.26,0.399,0.018,0.0115,0.0078,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,35,-0.20,,0.002,0.33,0.402,-0.002,0.0235,-0.0006,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,35,-0.10,,-0.003,0.45,0.406,-0.020,0.0097,0.0004,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,35,-0.05,,-0.005,0.49,0.411,-0.016,0.0092,-0.0014,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,35,0.00,1,0.000,0.43,0.431,-0.011,0.0027,0.0026,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,35,0.00,2,0.001,0.41,0.420,-0.007,0.0005,0.0036,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,35,0.05,,-0.003,0.43,0.440,0.040,-0.0155,0.0077,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,35,0.10,,-0.002,0.41,0.432,0.028,-0.0187,0.0076,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,35,0.20,,0.004,0.35,0.410,-0.008,-0.0225,0.0123,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,35,0.30,,0.009,0.32,0.417,-0.046,-0.0162,0.0090,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,35,0.40,,0.014,0.36,0.412,-0.039,-0.0032,0.0158,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,40,-0.40,,0.022,0.19,0.384,0.038,0.0169,0.0171,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,40,-0.30,,0.018,0.19,0.386,0.011,0.0152,0.0121,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,40,-0.20,,0.014,0.30,0.399,-0.028,0.0088,0.0032,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,40,-0.10,,0.013,0.40,0.396,-0.050,-0.0011,-0.0107,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,40,-0.05,,0.011,0.42,0.413,-0.045,-0.0016,-0.0079,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,40,0.00,1,0.017,0.35,0.425,-0.024,-0.0009,0.0041,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,40,0.00,2,0.014,0.35,0.437,-0.033,0.0000,0.0042,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,40,0.05,,0.001,0.38,0.458,0.005,-0.0026,0.0044,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,40,0.10,,0.000,0.39,0.444,0.011,-0.0065,0.0062,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,40,0.20,,0.004,0.31,0.410,0.004,-0.0103,0.0140,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,40,0.30,,0.008,0.24,0.424,-0.039,-0.0154,0.0030,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,40,0.40,,0.010,0.25,0.435,-0.047,-0.0162,0.0016,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,45,-0.40,,0.026,0.05,0.351,0.035,0.0284,0.0315,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,45,-0.30,,0.031,0.13,0.371,0.007,0.0160,0.0276,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,45,-0.20,,0.033,0.21,0.392,-0.058,0.0046,0.0052,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,45,-0.10,,0.036,0.28,0.392,-0.114,-0.0023,-0.0258,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,45,-0.05,,0.035,0.31,0.401,-0.081,-0.0057,-0.0199,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,45,0.00,1,0.036,0.25,0.392,-0.047,0.0023,-0.0010,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,45,0.00,2,0.037,0.30,0.401,-0.044,0.0004,-0.0017,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,45,0.05,,0.027,0.34,0.439,-0.014,0.0080,0.0048,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,45,0.10,,0.026,0.31,0.444,0.019,-0.0014,0.0100,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,45,0.20,,0.022,0.27,0.400,0.036,0.0016,0.0230,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,45,0.30,,0.027,0.12,0.395,-0.039,-0.0216,-0.0067,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,45,0.40,,0.022,0.09,0.382,-0.077,-0.0319,-0.0185,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_LEX_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_BETA0_V0.1,"F-18 LEX incremental contribution from component buildup",0,50,-0.40,,0.037,0.01,0.262,-0.097,0.0306,0.0015,BODY_WING_LEX_MINUS_BODY_WING,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
