source_id,configuration,beta_deg,delta_H_deg,delta_a_deg,delta_r_deg,delta_d_deg,delta_f_deg,source_pdf_page,appendix_page,alpha_deg,omega_b_over_2V,zero_replicate,CA,CN,Cm,CY,Cl,Cn,qa_status
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,103,A40,10,-0.30,,0.040,0.73,0.056,-0.213,0.0658,0.0318,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,103,A40,10,-0.20,,0.038,0.74,0.036,-0.174,0.0338,0.0251,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,103,A40,10,-0.10,,0.033,0.78,0.016,-0.142,0.0047,0.0179,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,103,A40,10,-0.05,,0.033,0.80,0.002,-0.127,0.0097,0.0142,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,103,A40,10,-0.03,,0.033,0.80,-0.006,-0.126,0.0171,0.0123,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,103,A40,10,0.00,1,0.040,0.75,-0.023,-0.143,0.0235,0.0102,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,103,A40,10,0.00,2,0.039,0.75,-0.023,-0.141,0.0236,0.0100,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,103,A40,10,0.03,,0.037,0.80,-0.024,-0.119,0.0292,0.0081,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,103,A40,10,0.05,,0.037,0.79,0.032,-0.120,0.0357,0.0061,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,103,A40,10,0.10,,0.041,0.79,-0.050,-0.117,0.0483,0.0018,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,103,A40,10,0.20,,0.047,0.77,0.089,-0.119,0.0684,-0.0074,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,103,A40,10,0.30,,0.051,0.80,0.132,-0.122,0.0918,-0.0177,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,103,A40,10,0.40,,0.051,0.88,-0.180,-0.109,0.1224,-0.0293,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,104,A41,15,-0.40,,0.033,1.13,0.071,-0.276,0.0950,0.0443,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,104,A41,15,-0.30,,0.037,1.10,0.055,-0.221,0.0607,0.0333,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,104,A41,15,-0.20,,0.036,1.09,0.040,-0.170,0.0283,0.0240,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,104,A41,15,-0.10,,0.035,1.10,0.013,-0.127,0.0007,0.0154,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,104,A41,15,-0.05,,0.035,1.10,0.005,-0.117,-0.0111,0.0114,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,104,A41,15,-0.03,,0.036,1.10,0.016,-0.113,-0.0173,0.0094,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,104,A41,15,0.00,1,0.040,1.06,0.033,-0.123,-0.0223,0.0071,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,104,A41,15,0.00,2,0.040,1.06,0.032,-0.120,-0.0225,0.0070,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,104,A41,15,0.03,,0.035,1.10,0.033,-0.105,-0.0267,0.0053,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,104,A41,15,0.05,,0.036,1.10,0.044,-0.103,-0.0314,0.0029,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,104,A41,15,0.10,,0.038,1.10,0.064,-0.098,-0.0419,-0.0025,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,104,A41,15,0.20,,0.042,1.09,0.107,-0.094,-0.0628,-0.0153,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,104,A41,15,0.30,,0.048,1.10,0.159,-0.079,-0.0799,-0.0362,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,104,A41,15,0.40,,0.047,1.17,0.219,-0.053,-0.0993,-0.0570,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,104,A41,20,-0.40,,0.032,1.46,0.072,-0.288,0.0755,0.0523,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,104,A41,20,-0.30,,0.033,1.45,0.056,-0.227,0.0529,0.0360,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,104,A41,20,-0.20,,0.031,1.44,0.031,-0.172,0.0299,0.0240,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,104,A41,20,-0.10,,0.028,1.46,0.010,-0.118,0.0083,0.0141,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,104,A41,20,-0.05,,0.027,1.45,0.005,-0.101,0.0017,0.0080,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,104,A41,20,-0.03,,0.028,1.45,0.015,-0.092,0.0064,0.0045,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,104,A41,20,0.00,1,0.039,1.39,0.030,-0.105,0.0106,0.0002,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,104,A41,20,0.00,2,0.038,1.40,0.031,-0.102,0.0104,0.0001,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,104,A41,20,0.03,,0.037,1.41,0.033,-0.080,0.0124,-0.0041,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,104,A41,20,0.05,,0.038,1.39,0.044,-0.077,0.0158,-0.0085,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,104,A41,20,0.10,,0.042,1.36,0.064,-0.067,0.0225,-0.0177,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,104,A41,20,0.20,,0.049,1.31,0.113,-0.056,0.0344,-0.0351,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,104,A41,20,0.30,,0.057,1.30,0.185,-0.048,0.0447,-0.0575,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,104,A41,20,0.40,,0.054,1.37,0.260,-0.044,0.0592,-0.0800,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,104,A41,25,-0.40,,0.023,1.69,0.076,-0.244,0.0495,0.0602,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,104,A41,25,-0.30,,0.036,1.64,0.058,-0.213,0.0231,0.0413,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,104,A41,25,-0.20,,0.042,1.65,0.047,-0.158,0.0103,0.0201,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,104,A41,25,-0.10,,0.046,1.65,0.032,-0.102,0.0143,-0.0022,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,104,A41,25,-0.05,,0.049,1.63,0.007,-0.085,0.0194,-0.0114,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,104,A41,25,-0.03,,0.051,1.62,-0.009,-0.080,0.0192,-0.0158,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,104,A41,25,0.00,1,0.053,1.57,-0.031,-0.090,0.0186,-0.0218,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,104,A41,25,0.00,2,0.053,1.57,-0.031,-0.088,0.0186,-0.0205,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,104,A41,25,0.03,,0.051,1.57,-0.045,-0.078,0.0180,-0.0255,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,104,A41,25,0.05,,0.054,1.55,-0.063,-0.084,0.0159,-0.0304,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,104,A41,25,0.10,,0.057,1.52,-0.091,-0.082,0.0090,-0.0387,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,104,A41,25,0.20,,0.060,1.46,-0.153,-0.079,0.0020,-0.0563,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,104,A41,25,0.30,,0.057,1.50,-0.229,-0.074,0.0114,-0.0777,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,104,A41,25,0.40,,0.054,1.58,-0.320,-0.091,0.0249,-0.1012,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,105,A42,30,-0.40,,0.044,1.89,0.030,-0.120,0.0472,0.0526,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,105,A42,30,-0.30,,0.051,1.84,0.028,-0.136,0.0299,0.0344,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,105,A42,30,-0.20,,0.050,1.76,0.027,-0.103,0.0003,0.0163,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,105,A42,30,-0.10,,0.049,1.77,0.000,-0.101,-0.0048,-0.0064,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,105,A42,30,-0.05,,0.049,1.77,0.023,-0.112,0.0024,-0.0192,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,105,A42,30,-0.03,,0.050,1.77,0.043,-0.117,0.0054,-0.0265,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,105,A42,30,0.00,1,0.059,1.74,0.062,-0.132,0.0091,-0.0331,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,105,A42,30,0.00,2,0.059,1.74,0.062,-0.134,0.0106,-0.0348,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,105,A42,30,0.03,,0.054,1.76,0.077,-0.134,0.0119,-0.0410,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,105,A42,30,0.05,,0.055,1.76,0.093,-0.137,0.0131,-0.0477,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,105,A42,30,0.10,,0.055,1.74,0.129,-0.142,0.0141,-0.0599,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,105,A42,30,0.20,,0.060,1.71,0.190,-0.170,0.0164,-0.0793,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,105,A42,30,0.30,,0.060,1.73,-0.263,-0.183,0.0106,-0.1006,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,105,A42,30,0.40,,0.054,1.81,-0.350,-0.199,-0.0076,-0.1209,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,105,A42,35,-0.40,,0.047,2.12,-0.039,-0.019,0.0181,0.0642,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,105,A42,35,-0.30,,0.055,2.03,-0.020,-0.070,0.0098,0.0346,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,105,A42,35,-0.20,,0.059,1.98,-0.005,-0.061,0.0005,0.0116,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,105,A42,35,-0.10,,0.056,1.90,-0.023,-0.079,0.0177,-0.0078,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,105,A42,35,-0.05,,0.055,1.90,-0.049,-0.089,0.0201,-0.0204,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,105,A42,35,-0.03,,0.056,1.90,-0.063,-0.090,0.0190,-0.0268,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,105,A42,35,0.00,1,0.064,1.86,-0.084,-0.140,0.0158,-0.0342,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,105,A42,35,0.00,2,0.062,1.85,-0.083,-0.140,0.0174,-0.0343,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,105,A42,35,0.03,,0.055,1.90,-0.092,-0.146,0.0127,-0.0422,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,105,A42,35,0.05,,0.056,1.91,-0.100,-0.160,0.0108,-0.0486,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,105,A42,35,0.10,,0.057,1.89,-0.119,-0.201,0.0045,-0.0589,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,105,A42,35,0.20,,0.062,1.85,-0.184,-0.302,0.0015,-0.0791,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,10,0,0,0,0,0,105,A42,35,0.30,,0.062,1.89,-0.279,-0.363,0.0070,-0.1052,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
