source_id,configuration,beta_deg,source_pdf_page,appendix_page,alpha_deg,omega_b_over_2V,zero_replicate,CA,CN,Cm,CY,Cl,Cn,qa_status
NASA_CR_3608,F-18 Body,0,65,A2,10,0.10,,0.002,0.28,0.071,0.030,-0.0009,-0.0006,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,65,A2,10,0.20,,0.006,0.26,0.069,0.017,-0.0008,-0.0028,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,65,A2,10,0.30,,0.010,0.24,0.069,-0.005,-0.0006,-0.0055,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,65,A2,10,0.40,,0.009,0.26,0.076,-0.024,-0.0008,-0.0085,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,65,A2,15,-0.40,,0.018,0.32,0.085,0.093,0.0001,0.0101,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,65,A2,15,-0.30,,0.016,0.30,0.076,0.076,-0.0003,0.0055,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,65,A2,15,-0.20,,0.011,0.29,0.074,0.062,-0.0004,0.0032,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,65,A2,15,-0.10,,0.000,0.29,0.075,0.045,-0.0004,0.0016,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,65,A2,15,-0.05,,0.007,0.28,0.074,0.034,-0.0003,0.0010,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,65,A2,15,0.00,1,0.018,0.21,0.060,0.012,0.0003,-0.0005,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,65,A2,15,0.00,2,0.019,0.22,0.061,0.012,0.0003,-0.0005,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,65,A2,15,0.05,,0.006,0.31,0.079,0.027,-0.0007,0.0006,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,65,A2,15,0.10,,0.000,0.30,0.078,0.008,-0.0006,0.0000,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,65,A2,15,0.20,,0.015,0.29,0.073,-0.022,-0.0002,-0.0024,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,65,A2,15,0.30,,0.021,0.29,0.075,-0.050,-0.0000,-0.0056,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,65,A2,15,0.40,,0.022,0.31,0.082,-0.078,-0.0000,-0.0102,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,66,A3,20,-0.40,,0.021,0.39,0.123,0.151,-0.0004,0.0128,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,66,A3,20,-0.30,,0.031,0.34,0.103,0.132,-0.0004,0.0080,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,66,A3,20,-0.20,,0.036,0.31,0.090,0.114,-0.0006,0.0026,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,66,A3,20,-0.10,,0.035,0.29,0.086,0.074,-0.0004,0.0011,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,66,A3,20,-0.05,,0.035,0.29,0.085,0.050,-0.0003,0.0010,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,66,A3,20,0.00,1,0.048,0.21,0.071,0.013,0.0004,-0.0001,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,66,A3,20,0.00,2,0.048,0.21,0.072,0.012,0.0004,-0.0003,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,66,A3,20,0.05,,0.036,0.30,0.089,0.015,-0.0007,0.0016,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,66,A3,20,0.10,,0.037,0.29,0.089,-0.016,-0.0004,0.0010,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,66,A3,20,0.20,,0.041,0.31,0.089,-0.064,0.0001,-0.0020,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,66,A3,20,0.30,,0.037,0.30,0.098,-0.101,0.0005,-0.0075,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,F-18 Body,0,66,A3,20,0.40,,0.025,0.36,0.118,-0.128,0.0008,-0.0136,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
