source_id,configuration,beta_deg,delta_H_deg,delta_a_deg,delta_r_deg,delta_d_deg,delta_f_deg,source_pdf_page,appendix_page,alpha_deg,omega_b_over_2V,zero_replicate,CA,CN,Cm,CY,Cl,Cn,qa_status
NASA_CR_3608,Basic F-18,0,0,0,0,0,0,96,A33,0,-0.40,,0.055,0.15,-0.003,-0.031,0.1421,0.0111,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,0,0,0,0,0,0,96,A33,0,-0.30,,0.057,0.13,-0.002,-0.027,0.1099,0.0083,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,0,0,0,0,0,0,96,A33,0,-0.20,,0.058,0.11,0.005,-0.021,0.0704,0.0053,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,0,0,0,0,0,0,96,A33,0,-0.10,,0.061,0.14,0.006,-0.014,0.0320,0.0024,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,0,0,0,0,0,0,96,A33,0,-0.05,,0.059,0.15,0.008,-0.009,0.0140,0.0018,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,0,0,0,0,0,0,96,A33,0,-0.03,,0.059,0.16,0.007,-0.001,0.0052,0.0013,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,0,0,0,0,0,0,96,A33,0,0.00,1,0.060,0.10,0.006,-0.006,-0.0032,-0.0003,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,0,0,0,0,0,0,96,A33,0,0.00,2,0.064,0.09,0.004,-0.011,-0.0033,-0.0007,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,0,0,0,0,0,0,96,A33,0,0.03,,0.061,0.15,0.004,-0.005,-0.0103,0.0000,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,0,0,0,0,0,0,96,A33,0,0.05,,0.059,0.14,0.004,-0.005,-0.0192,-0.0003,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,0,0,0,0,0,0,96,A33,0,0.10,,0.061,0.12,0.004,-0.005,-0.0374,-0.0011,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,0,0,0,0,0,0,96,A33,0,0.20,,0.060,0.08,0.004,-0.011,-0.0762,-0.0030,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,0,0,0,0,0,0,96,A33,0,0.30,,0.062,0.07,-0.002,-0.012,-0.1147,-0.0033,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,0,0,0,0,0,0,96,A33,0,0.40,,0.064,0.08,-0.002,-0.010,-0.1454,-0.0020,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,0,0,0,0,0,0,96,A33,5,-0.40,,0.054,0.48,-0.010,-0.049,0.1284,0.0214,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
NASA_CR_3608,Basic F-18,0,0,0,0,0,0,96,A33,5,-0.30,,0.056,0.46,-0.015,-0.041,0.0959,0.0146,PAGE_IMAGE_CROSSCHECKED_NOT_DOUBLE_KEYED
