crossing,parameter,bracket_a,bracket_b,re_a,re_b,stabilator_deg,alpha_deg,V_ft_s,phi_deg,crossing_imag_rad_s,lateral_fraction,stabilator_extremum_phi_deg
pitchfork_symmetric_real,V_ft_s,377.43777572736155,377.43777572764094,-7.9175081256959043E-10,1.155847898731195E-08,-6.4938278198242188,10.586521148681641,377.43777572736155,0,0,1.000000,
hopf_longitudinal_near_fork,V_ft_s,370.84176138285551,370.84176138751212,2.2858134110768291E-06,-1.3395350906129059E-06,-6.962709903717041,10.99640941619873,370.84176138751212,0,1.4459310994717931,0.000000,
hopf_longitudinal_points_8_9,V_ft_s,330.2024692138657,330.202469214797,-2.7407150823815411E-06,3.9262609727232344E-07,-10.877810478210449,14.184220314025879,330.202469214797,0,1.3915988420795751,0.000000,
hopf_lateral_beyond_table,V_ft_s,278.37743037845939,278.377430383116,8.0246208588490688E-09,-9.8801558429332888E-08,-19.326267242431641,20.821016311645508,278.37743037845939,0,2.5632039313114969,1.000000,
fold_123_125,phi_deg,-56.528197219446312,-56.528197217937567,-7.9679442102514565E-10,1.3275120874513671E-08,-6.4927515983581543,9.8022890090942383,533.35211181640625,-56.528197219446312,0,0.417192,-56.557110294660376
fold_135_137,phi_deg,-41.048741990774872,-41.048741989042611,6.3746910303024567E-08,-4.7422779150355979E-09,-6.4219117164611816,10.423735618591309,438.38705444335938,-41.048741989042611,0,0.752787,-41.048062287908934
fold_181_183,phi_deg,41.048717013988636,41.048717015907165,-2.8187377286145144E-08,3.9603913674481533E-08,-6.4219117164611816,10.423735618591309,438.386962890625,41.048717013988636,0,0.752788,41.039795968882821
fold_193_195,phi_deg,56.528196128923447,56.528196130553262,1.2987148099918839E-07,-6.7670862132904E-08,-6.4927520751953125,9.8022890090942383,533.35211181640625,56.528196130553262,0,0.417192,56.5368977432249
