point,factor,mode,real_per_s,imag_rad_s,abs_difference_to_chosen
47,100,A+,0.81613342250800991,0.86072740854133767,7.538E-003
47,100,A-,0.81613342250800991,-0.86072740854133767,7.538E-003
47,100,B+,-0.041321159820681123,0.158434105930722,3.791E-003
47,100,B-,-0.041321159820681123,-0.158434105930722,3.791E-003
47,100,E,-0.05875133098778404,0,9.088E-005
47,100,C+,-0.20622684997062274,4.0854395024386907,1.796E-003
47,100,C-,-0.20622684997062274,-4.0854395024386907,1.796E-003
47,100,D,-0.46607565445046611,0,5.600E-005
47,30,A+,0.81409056354232678,0.86727580263337534,6.783E-004
47,30,A-,0.81409056354232678,-0.86727580263337534,6.783E-004
47,30,B+,-0.039703446283031046,0.1553624167072741,3.191E-004
47,30,B-,-0.039703446283031046,-0.1553624167072741,3.191E-004
47,30,E,-0.058687072973749164,0,2.662E-005
47,30,C+,-0.20618940077728,4.0841751330131766,5.307E-004
47,30,C-,-0.20618940077728,-4.0841751330131766,5.307E-004
47,30,D,-0.4661152632933897,0,1.639E-005
47,10,A+,0.81392025038593419,0.86785482625002475,7.474E-005
47,10,A-,0.81392025038593419,-0.86785482625002475,7.474E-005
47,10,B+,-0.039570635114735464,0.15511124593625791,3.495E-005
47,10,B-,-0.039570635114735464,-0.15511124593625791,3.495E-005
47,10,E,-0.058668705405467418,0,8.254E-006
47,10,C+,-0.20617870736784605,4.0838096554337966,1.651E-004
47,10,C-,-0.20617870736784605,-4.0838096554337966,1.651E-004
47,10,D,-0.46612657238860911,0,5.077E-006
47,3,A+,0.813901508513744,0.86792143959049572,5.574E-006
47,3,A-,0.813901508513744,-0.86792143959049572,5.574E-006
47,3,B+,-0.0395555462330282,0.15508275000708749,2.710E-006
47,3,B-,-0.0395555462330282,-0.15508275000708749,2.710E-006
47,3,E,-0.0586622896409344,0,1.838E-006
47,3,C+,-0.20617495691044757,4.0836813546695669,3.673E-005
47,3,C-,-0.20617495691044757,-4.0836813546695669,3.673E-005
47,3,D,-0.46613052705481745,0,1.123E-006
47,1,A+,0.81389939269760159,0.86792659682376949,0.000E+000
47,1,A-,0.81389939269760159,-0.86792659682376949,0.000E+000
47,1,B+,-0.039554311350311643,0.15508033823544043,0.000E+000
47,1,B-,-0.039554311350311643,-0.15508033823544043,0.000E+000
47,1,E,-0.058660451313331925,0,0.000E+000
47,1,C+,-0.20617387658785702,4.0836446355674161,0.000E+000
47,1,C-,-0.20617387658785702,-4.0836446355674161,0.000E+000
