sign,t_s,alpha_deg,beta_deg,p_rad_s,q_rad_s,r_rad_s,theta_deg,phi_deg,V_ft_s,heading_rate_rad_s
+,1240,1.029384953E+001,7.674608122E-004,-1.585462459E-004,6.213054074E-006,7.073973252E-004,1.509590565E+001,5.113021463E-001,3.824081702E+002,7.327094954E-004
+,1280,1.029383713E+001,8.868804055E-004,-1.832293471E-004,8.301301526E-006,8.174904069E-004,1.509563155E+001,5.908838510E-001,3.824109026E+002,8.467518415E-004
+,1320,1.029382109E+001,1.024829824E-003,-2.117466380E-004,1.108056175E-005,9.446742057E-004,1.509527514E+001,6.828233524E-001,3.824145411E+002,9.785032987E-004
+,1360,1.029379830E+001,1.184164755E-003,-2.446904622E-004,1.478905022E-005,1.091587166E-003,1.509479462E+001,7.890303329E-001,3.824194376E+002,1.130700680E-003
+,1400,1.029376883E+001,1.368175519E-003,-2.827436539E-004,1.975501048E-005,1.261270505E-003,1.509414892E+001,9.117068552E-001,3.824259636E+002,1.306500438E-003
+,1440,1.029372964E+001,1.580650088E-003,-3.266930025E-004,2.636238867E-005,1.457227543E-003,1.509329173E+001,1.053391201E+000,3.824346534E+002,1.509540343E-003
+,1480,1.029367689E+001,1.825943618E-003,-3.774438452E-004,3.519130329E-005,1.683491706E-003,1.509214831E+001,1.217008055E+000,3.824462637E+002,1.744013333E-003
+,1520,1.029360687E+001,2.109061411E-003,-4.360377527E-004,4.696525181E-005,1.944704154E-003,1.509062135E+001,1.405926226E+000,3.824617579E+002,2.014749136E-003
+,1560,1.029351326E+001,2.435748414E-003,-5.036713948E-004,6.266203366E-005,2.246201303E-003,1.508858459E+001,1.624024566E+000,3.824824136E+002,2.327310085E-003
+,1600,1.029338821E+001,2.812587931E-003,-5.817179890E-004,8.359487161E-005,2.594113514E-003,1.508587061E+001,1.875767386E+000,3.825099598E+002,2.688100140E-003
+,1640,1.029322140E+001,3.247112384E-003,-6.717508386E-004,1.114928283E-004,2.995476442E-003,1.508225264E+001,2.166290928E+000,3.825466902E+002,3.104489574E-003
