case,group,equilibrium,mode,amplitude,dt_s,duration_s,window_end_s,window_samples,predicted_re_per_s,predicted_im_rad_s,measured_sigma_modal,measured_omega_modal,measured_sigma_state,measured_omega_state,dominant_state,zero_crossings,extrema,wp3d_uncertainty,rate_error,rate_band,rate_agrees,frequency_error,frequency_band,frequency_agrees,reference_amplitude
D123-E,D,table_vii_123,E,1E-05,0.1,2000,2000,2001,-0.0011118672698481648,0,-0.0010542490789753043,0,-0.0010546761116438262,0,V,0,0,8.114E-007,5.7618190872860435E-05,1.365E-005,,,,,false
D123-E,D,table_vii_123,E,0.0001,0.1,2000,2000,2001,-0.0011118672698481648,0,-0.0011097124569554447,0,-0.0011097375258878981,0,V,0,0,8.114E-007,2.1548128927200219E-06,1.365E-005,true,,,,true
D123-E,D,table_vii_123,E,0.001,0.1,2000,2000,2001,-0.0011118672698481648,0,-0.0011082475204541185,0,-0.0011082505191579047,0,V,0,0,8.114E-007,3.6197493940462282E-06,1.365E-005,,,,,false
D125-E,D,table_vii_125,E,1E-06,0.1,2000,1563,1564,0.0051467947719835826,0,0.0051346539586577889,0,0.0051341135109543743,0,V,0,0,5.266E-006,1.214081332579376E-05,6.737E-005,,,,,false
D125-E,D,table_vii_125,E,1E-05,0.1,2000,1106,1107,0.0051467947719835826,0,0.0051488811483565789,0,0.0051487832283019438,0,V,0,0,5.266E-006,2.086376372996239E-06,6.737E-005,,,,,false
D125-E,D,table_vii_125,E,0.0001,0.1,2000,659,660,0.0051467947719835826,0,0.005154789833224171,0,0.0051546651455125787,0,V,0,0,5.266E-006,7.9950612405883456E-06,6.737E-005,true,,,,true
D125-E,D,table_vii_125,E,0.001,0.1,2000,212,213,0.0051467947719835826,0,0.0051660121559282731,0,0.0051656458146483036,0,V,0,0,5.266E-006,1.9217383944690469E-05,6.737E-005,,,,,false
D130-E,D,table_vii_130,E,1E-06,0.1,2000,687,688,0.011650607804707237,0,0.011647483592861368,0,0.011646286310698042,0,phi,0,0,2.278E-005,3.1242118458691542E-06,1.849E-004,,,,,false
D130-E,D,table_vii_130,E,1E-05,0.1,2000,489,490,0.011650607804707237,0,0.011652845008987438,0,0.011652674679905904,0,phi,0,0,2.278E-005,2.2372042802008135E-06,1.849E-004,,,,,false
D130-E,D,table_vii_130,E,0.0001,0.1,2000,291,292,0.011650607804707237,0,0.011652530062455847,0,0.011652614283905117,0,phi,0,0,2.278E-005,1.922257748610337E-06,1.849E-004,true,,,,true
D130-E,D,table_vii_130,E,0.001,0.1,2000,94,95,0.011650607804707237,0,0.011649814999247462,0,0.011650299255239319,0,phi,0,0,2.278E-005,7.9280545977472583E-07,1.849E-004,,,,,false
D135-E,D,table_vii_135,E,1E-06,0.1,2000,2000,2001,0.00029837904248211541,0,0.00029896921514448096,0,0.00029954124113746851,0,phi,0,0,3.522E-006,5.9017266236554471E-07,1.365E-005,,,,,false
D135-E,D,table_vii_135,E,1E-05,0.1,2000,2000,2001,0.00029837904248211541,0,0.00029708744608492716,0,0.00029705345100483507,0,phi,0,0,3.522E-006,1.2915963971882522E-06,1.365E-005,,,,,false
D135-E,D,table_vii_135,E,0.0001,0.1,2000,2000,2001,0.00029837904248211541,0,0.00029856265589818629,0,0.00029854851720043167,0,phi,0,0,3.522E-006,1.8361341607087611E-07,1.365E-005,true,,,,true
D135-E,D,table_vii_135,E,0.001,0.1,2000,2000,2001,0.00029837904248211541,0,0.0003009702803229573,0,0.00030092150956000568,0,phi,0,0,3.522E-006,2.5912378408418863E-06,1.365E-005,,,,,false
D137-E,D,table_vii_137,E,1E-06,0.1,2000,2000,2001,-0.00069449469246671747,0,-0.00065568158414028917,0,-0.000655399853365136,0,phi,0,0,1.835E-006,3.8813108326428295E-05,1.255E-005,,,,,false
D137-E,D,table_vii_137,E,1E-05,0.1,2000,2000,2001,-0.00069449469246671747,0,-0.00067668217851616893,0,-0.0006774195494191243,0,phi,0,0,1.835E-006,1.781251395054854E-05,1.255E-005,,,,,false
D137-E,D,table_vii_137,E,0.0001,0.1,2000,2000,2001,-0.00069449469246671747,0,-0.00069305905523863343,0,-0.00069301676650684147,0,phi,0,0,1.835E-006,1.4356372280840361E-06,1.255E-005,true,,,,true
D137-E,D,table_vii_137,E,0.001,0.1,2000,2000,2001,-0.00069449469246671747,0,-0.00069394605824030372,0,-0.00069394834247026016,0,phi,0,0,1.835E-006,5.4863422641374636E-07,1.255E-005,,,,,false
D181-E,D,table_vii_181,E,1E-06,0.1,2000,2000,2001,-0.0003655884267793519,0,-0.00034047841189163984,0,-0.000340332849829729,0,phi,0,0,2.452E-006,2.5110014887712057E-05,1.111E-005,,,,,false
D181-E,D,table_vii_181,E,1E-05,0.1,2000,2000,2001,-0.0003655884267793519,0,-0.00034954945814683075,0,-0.00035050130512857846,0,phi,0,0,2.452E-006,1.6038968632521155E-05,1.111E-005,,,,,false
D181-E,D,table_vii_181,E,0.0001,0.1,2000,2000,2001,-0.0003655884267793519,0,-0.00036415103194632086,0,-0.00036416892011979416,0,phi,0,0,2.452E-006,1.4373948330310363E-06,1.111E-005,true,,,,true
D181-E,D,table_vii_181,E,0.001,0.1,2000,2000,2001,-0.0003655884267793519,0,-0.00036488511561614146,0,-0.00036488797964815409,0,phi,0,0,2.452E-006,7.0331116321044242E-07,1.111E-005,,,,,false
D183-E,D,table_vii_183,E,1E-06,0.1,2000,2000,2001,0.0010741945348323643,0,0.0010704218482163041,0,0.0010721280999555953,0,phi,0,0,4.787E-006,3.7726866160602088E-06,2.520E-005,,,,,false
D183-E,D,table_vii_183,E,1E-05,0.1,2000,2000,2001,0.0010741945348323643,0,0.0010717325417180783,0,0.0010717279347912847,0,phi,0,0,4.787E-006,2.4619931142859462E-06,2.520E-005,,,,,false
D183-E,D,table_vii_183,E,0.0001,0.1,2000,2000,2001,0.0010741945348323643,0,0.0010752410660359645,0,0.0010752196219026913,0,phi,0,0,4.787E-006,1.0465312036001938E-06,2.520E-005,true,,,,true
D183-E,D,table_vii_183,E,0.001,0.1,2000,1018,1019,0.0010741945348323643,0,0.0010781710201852163,0,0.0010780059048931016,0,phi,0,0,4.787E-006,3.9764853528520289E-06,2.520E-005,,,,,false
D193-E,D,table_vii_193,E,1E-06,0.1,2000,2000,2001,0.00165474817843366,0,0.0016805524381575344,0,0.0016806691150302732,0,V,0,0,2.308E-006,2.58042597238745E-05,2.357E-005,,,,,false
D193-E,D,table_vii_193,E,1E-05,0.1,2000,2000,2001,0.00165474817843366,0,0.0016569124662944622,0,0.0016568199049230997,0,V,0,0,2.308E-006,2.164287860802281E-06,2.357E-005,,,,,false
D193-E,D,table_vii_193,E,0.0001,0.1,2000,2000,2001,0.00165474817843366,0,0.0016683398748276576,0,0.0016682143447303106,0,V,0,0,2.308E-006,1.359169639399767E-05,2.357E-005,true,,,,true
D193-E,D,table_vii_193,E,0.001,0.1,2000,651,652,0.00165474817843366,0,0.001682875879969555,0,0.0016824918609712465,0,V,0,0,2.308E-006,2.81277015358951E-05,2.357E-005,,,,,false
D195-E,D,table_vii_195,E,1E-06,0.1,2000,2000,2001,-0.0048720224570447781,0,-0.0006221055126036303,0,-0.00061953366834998518,0,V,0,0,6.746E-007,0.004249916944441148,5.084E-005,,,,,false
D195-E,D,table_vii_195,E,1E-05,0.1,2000,2000,2001,-0.0048720224570447781,0,-0.0021201533355148863,0,-0.0021152376330821651,0,V,0,0,6.746E-007,0.0027518691215298917,5.084E-005,,,,,false
D195-E,D,table_vii_195,E,0.0001,0.1,2000,949,950,-0.0048720224570447781,0,-0.0048541934100170088,0,-0.0048540189406014447,0,V,0,0,6.746E-007,1.7829047027769288E-05,5.084E-005,true,,,,true
D195-E,D,table_vii_195,E,0.001,0.1,2000,945,946,-0.0048720224570447781,0,-0.0048716343886316942,0,-0.0048718526677726413,0,V,0,0,6.746E-007,3.8806841308382939E-07,5.084E-005,,,,,false
E124-E,E,table_vii_124,E,1E-06,0.1,2000,2000,2001,-6.7850521865934614E-06,0,-0.0001399933470364517,0,-0.00014384548894997819,0,V,0,0,1.355E-006,0.00013320829484985824,4.232E-006,,,,,false
E124-E,E,table_vii_124,E,1E-05,0.1,2000,2000,2001,-6.7850521865934614E-06,0,-1.5277521642792814E-05,0,-1.535667479794729E-05,0,V,0,0,1.355E-006,8.4924694561993523E-06,4.232E-006,,,,,false
E124-E,E,table_vii_124,E,0.0001,0.1,2000,2000,2001,-6.7850521865934614E-06,0,-2.2962609320566554E-07,0,-2.2669922701356601E-07,0,V,0,0,1.355E-006,6.5554260933877959E-06,4.232E-006,false,,,,true
E124-E,E,table_vii_124,E,0.001,0.1,2000,2000,2001,-6.7850521865934614E-06,0,1.4445563333181031E-05,0,1.4368895045171192E-05,0,V,0,0,1.355E-006,2.1230615519774491E-05,4.232E-006,,,,,false
E136-E,E,table_vii_136,E,1E-06,0.1,2000,2000,2001,7.7667467586327E-07,0,-4.0374936215547988E-05,0,-4.048910838591183E-05,0,phi,0,0,3.036E-006,4.1151610891411255E-05,9.214E-006,,,,,false
E136-E,E,table_vii_136,E,1E-05,0.1,2000,2000,2001,7.7667467586327E-07,0,-3.2406020989244015E-06,0,-3.2493982371348235E-06,0,phi,0,0,3.036E-006,4.0172767747876715E-06,9.214E-006,,,,,false
E136-E,E,table_vii_136,E,0.0001,0.1,2000,2000,2001,7.7667467586327E-07,0,-8.5669386374756713E-08,0,-8.5853509460573836E-08,0,phi,0,0,3.036E-006,8.6234406223802668E-07,9.214E-006,true,,,,true
E136-E,E,table_vii_136,E,0.001,0.1,2000,2000,2001,7.7667467586327E-07,0,1.9699664669643528E-06,0,1.9562000793113303E-06,0,phi,0,0,3.036E-006,1.1932917911010828E-06,9.214E-006,,,,,false
E182-E,E,table_vii_182,E,1E-06,0.1,2000,2000,2001,7.7667467586327E-07,0,-4.0374936215547988E-05,0,-4.048910838591183E-05,0,phi,0,0,3.036E-006,4.1151610891411255E-05,9.214E-006,,,,,false
E182-E,E,table_vii_182,E,1E-05,0.1,2000,2000,2001,7.7667467586327E-07,0,-3.2406020989244015E-06,0,-3.2493982371348235E-06,0,phi,0,0,3.036E-006,4.0172767747876715E-06,9.214E-006,,,,,false
E182-E,E,table_vii_182,E,0.0001,0.1,2000,2000,2001,7.7667467586327E-07,0,-8.5669386374756713E-08,0,-8.5853509460573836E-08,0,phi,0,0,3.036E-006,8.6234406223802668E-07,9.214E-006,true,,,,true
